04/24/2022,消火活動をする消防隊員ら（２４日午前９時４０分、舞鶴市新）２４日午前８時半ごろ、京都府舞鶴市新の女性（７４）方から出火、木造平屋建て約４０平方メートルを全焼し、隣接する２棟の一部を焼いた。舞鶴市消防本部によると、家にいた女性がやけどを負った。女性は１人暮らしという。近所の男性（７３）は「煙に気づいて、消火器を使って消そうとしたが、火の勢いが強かった」と話していた。,社会,民家全焼、女性がやけど　隣接2棟の一部焼く「火の勢い強かった」京都・舞鶴,https://www.kyoto-np.co.jp/articles/-/777577
04/24/2022,プロバスケットボール男子のＢリーグ１部（Ｂ１）は２３日、京都市体育館などで１１試合を行い、京都ハンナリーズは延長戦の末、８１―８４で富山に…,スポーツ,京都ハンナリーズ、滋賀レイクスとも敗戦　B1、琉球が5年連続地区優勝,https://www.kyoto-np.co.jp/articles/-/777468
04/24/2022,「宇宙天気」の研究が注目を集めている。太陽活動は時に、停電や通信障害といった悪影響を地球にもたらす。こうした宇宙空間で起きる現象を予測しよ…,文化・ライフ,「宇宙天気予報士」生まれる？　京都・花山宇宙文化財団の公開講座が面白い,https://www.kyoto-np.co.jp/articles/-/777444
04/24/2022,陸上の兵庫リレーカーニバルの第１日は２３日、神戸市のユニバー記念競技場で行われ、アシックスチャレンジ女子５０００メートルはマーガレット・ア…,スポーツ,女子5000メートルで川村2位　陸上・兵庫リレーカーニバル第1日,https://www.kyoto-np.co.jp/articles/-/777428
04/24/2022,野球の春季京都府高校大会は２３日、１次戦のゾーン決勝１５試合が行われ、２次戦の出場校が決まった。昨秋の府大会準優勝の塔南は１１－０の七回コ…,スポーツ,龍谷大平安や立命館宇治、乙訓など2次戦進出　高校野球京都春季大会,https://www.kyoto-np.co.jp/articles/-/777418
04/24/2022,Ｘゲーム千葉大会第２日は２３日、ＺＯＺＯマリンスタジアムで行われ、自転車ＢＭＸ男子パークで予選を１位通過して決勝に進んだ中村輪夢（ウイング…,スポーツ,BMX男子パーク中村は6位、スケボー女子パーク手塚3位　Xゲーム第2日,https://www.kyoto-np.co.jp/articles/-/777410
04/24/2022,京都府高野連は２３日、５月１日から始まる春季高校大会２次戦について、入場者数の上限を設けて有観客で実施すると発表した。春季大会で観客を入れ…,スポーツ,2次戦は3年ぶり有観客で実施　高校野球・京都春季大会,https://www.kyoto-np.co.jp/articles/-/777409
04/24/2022,サッカーの天皇杯京都府予選を兼ねた京都選手権決勝大会は２３日、たけびしスタジアム京都で準決勝を行い、同志社大（＝同大、大学第２代表）と京産…,スポーツ,同志社大と京産大が決勝進出　サッカー・京都選手権決勝大会,https://www.kyoto-np.co.jp/articles/-/777392
04/24/2022,ソフトボールニトリＪＤリーグは２３日、兵庫県尼崎市のベイコム野球場などで７試合を行い、ＳＧホールディングス（ＳＧＨ）＝京都市＝は２－１で伊…,スポーツ,SGHが開幕7連勝　ソフトボール・ニトリJDリーグ,https://www.kyoto-np.co.jp/articles/-/777369
04/24/2022,陸上の世界選手権４００メートルリレー代表など女子短距離界で長年活躍し、昨年引退した和田麻希さん（３５）＝西京高―龍大出＝がこのほど、京都市…,スポーツ,「けがや不安、戦いの連続だった」お疲れ様、和田麻希さん　22年の陸上人生振り返る,https://www.kyoto-np.co.jp/articles/-/776814
04/24/2022,京都サンガＦＣなどでＧＫとして活躍した加藤順大（のぶひろ）（３７）が、サッカーとゴルフを融合させたスポーツ「フットゴルフ」のプロ選手に転身…,スポーツ,浦和、大宮、サンガの元守護神はなぜフットゴルフのプロになったのか　加藤順大の挑戦,https://www.kyoto-np.co.jp/articles/-/776765
04/24/2022,今春から京産大野球部の監督に、プロ野球オリックスやロッテでプレーしたＯＢの光原逸裕さん（４１）が就任した。部関係者に新型コロナウイルス陽性…,スポーツ,京産大野球部の新指揮官「私も大学で伸ばしてもらった」元オリックス・光原監督の思い,https://www.kyoto-np.co.jp/articles/-/776762
